user_id,churned,days_since_last_trip,days_since_last_session,trips_last_7d,trips_last_30d,trips_last_60d,trips_last_90d,monetary_total,monetary_avg,trips_lifetime,monetary_last_30d,avg_fare,avg_surge,tip_rate,peak_hour_rate,weekend_ratio,session_last_30d,avg_time_on_app,session_conversion_rate,activity_trend_30d,rfm_recency_score,rfm_frequency_score,rfm_monetary_score,rfm_combined_score,account_age_days,was_referred,loyalty_status,age,city,engagement_score,cluster,segment
R00000,0,25,0.0,0,1,1,3,414.13,16.57,25,16.31,14.642,1.096,0.4,0.2,0.16,4.0,92.0,0.25,0.5,2,1,4,2.33,93,1,Bronze,35,Nairobi,2.15,1.0,Dormant
R00001,1,5,0.0,1,2,3,3,195.69,13.98,14,26.83,12.895,1.071,0.214,0.214,0.286,3.0,174.667,0.0,0.5,4,3,1,2.67,230,0,Bronze,35,Nairobi,2.9,0.0,At-Risk
R00002,1,14,0.0,0,1,4,5,482.94,20.12,24,14.9,15.791,1.192,0.208,0.375,0.125,3.0,191.0,0.0,0.2,3,1,5,3.0,232,0,Bronze,47,Lagos,2.8,1.0,Dormant
R00004,0,12,0.0,0,2,2,5,391.15,24.45,16,45.718,16.777,1.262,0.438,0.25,0.438,2.0,17.0,0.0,0.667,3,3,3,3.0,250,1,Silver,41,Lagos,3.0,2.0,Champions
R00005,0,2,0.0,1,2,2,4,300.63,15.82,19,24.66,14.443,1.068,0.211,0.368,0.105,6.0,30.333,0.167,0.667,5,3,2,3.33,657,0,Bronze,40,Lagos,3.55,0.0,At-Risk
R00006,0,67,0.0,0,0,0,2,246.4,17.6,14,0.0,14.215,1.129,0.714,0.714,0.357,5.0,52.0,0.6,0.0,1,1,1,1.0,619,1,Gold,44,Lagos,1.0,1.0,Dormant
R00007,0,19,0.0,0,1,3,5,506.68,26.67,19,24.888,19.268,1.184,0.368,0.474,0.316,5.0,246.8,0.0,0.25,2,1,5,2.67,715,0,Bronze,27,Nairobi,2.4,1.0,Dormant
R00009,0,80,0.0,0,0,0,1,430.73,30.77,14,0.0,18.112,1.379,0.429,0.5,0.071,3.0,22.0,0.0,0.0,1,1,4,2.0,666,0,Bronze,24,Lagos,1.75,1.0,Dormant
R00010,0,0,0.0,1,6,10,13,519.21,16.75,31,79.61500000000001,14.437,1.09,0.323,0.355,0.452,4.0,87.75,0.25,0.545,5,5,5,5.0,362,0,Bronze,41,Nairobi,5.0,2.0,Champions
R00012,0,21,0.0,0,2,4,5,385.83,16.78,23,23.52,14.302,1.117,0.522,0.304,0.348,4.0,18.0,0.75,0.4,2,3,3,2.67,547,0,Gold,38,Cairo,2.6,3.0,Loyal Riders
R00013,0,47,0.0,0,0,1,3,247.54,17.68,14,0.0,16.205,1.036,0.286,0.071,0.357,6.0,160.0,0.0,0.0,1,1,1,1.0,665,0,Bronze,40,Cairo,1.0,1.0,Dormant
R00014,0,4,0.0,1,4,6,9,513.31,17.7,29,74.67399999999999,14.75,1.138,0.276,0.31,0.345,3.0,29.0,0.0,0.571,5,5,5,5.0,602,0,Bronze,45,Nairobi,5.0,2.0,Champions
R00015,0,6,0.0,1,2,4,6,528.44,20.32,26,19.36,15.595,1.162,0.577,0.269,0.269,9.0,120.444,0.222,0.4,4,3,5,4.0,102,1,Gold,18,Nairobi,3.9,3.0,Loyal Riders
R00016,0,21,0.0,0,1,4,7,353.07,17.65,20,12.36,15.446,1.035,0.8,0.3,0.35,1.0,88.0,1.0,0.2,2,1,3,2.0,358,1,Gold,32,Nairobi,1.9,3.0,Loyal Riders
R00017,0,3,0.0,1,3,6,8,356.19,18.75,19,54.6,15.13,1.137,0.526,0.316,0.211,6.0,26.667,0.333,0.429,5,4,3,4.0,726,0,Gold,25,Lagos,4.15,3.0,Loyal Riders
R00020,0,3,0.0,1,2,4,7,381.77,20.09,19,32.8,16.743,1.121,0.368,0.368,0.158,7.0,165.286,0.0,0.4,5,3,3,3.67,648,1,Bronze,18,Cairo,3.8,2.0,Champions
R00021,0,10,0.0,0,1,1,2,216.67,14.44,15,8.6,13.351,1.027,0.333,0.267,0.2,2.0,136.5,0.0,0.5,3,1,1,1.67,256,0,Bronze,43,Cairo,1.8,0.0,At-Risk
R00022,0,14,0.0,0,4,5,7,296.03,16.45,18,68.14,14.393,1.106,0.444,0.278,0.222,4.0,82.0,0.0,0.667,3,5,2,3.33,87,0,Bronze,45,Lagos,3.45,0.0,At-Risk
R00023,0,12,0.0,0,2,4,4,358.22,16.28,22,20.972,14.131,1.086,0.364,0.409,0.227,3.0,81.0,0.0,0.4,3,3,3,3.0,224,1,Bronze,51,Lagos,3.0,0.0,At-Risk
R00025,0,2,0.0,1,1,2,2,241.17,18.55,13,18.35,15.848,1.115,0.231,0.231,0.154,7.0,147.143,0.0,0.333,5,1,1,2.33,551,1,Bronze,46,Cairo,2.6,0.0,At-Risk
R00026,0,28,0.0,0,2,6,9,328.97,18.28,18,18.39,15.673,1.1,0.222,0.5,0.278,5.0,12.2,0.2,0.286,2,3,2,2.33,262,0,Bronze,19,Lagos,2.35,0.0,At-Risk
