user_id,signup_date,loyalty_status,age,city,avg_rating_given,churned,was_referred
R00000,2025-01-24,Bronze,35,Nairobi,5.0,0,1
R00001,2024-09-09,Bronze,35,Nairobi,4.7,1,0
R00002,2024-09-07,Bronze,47,Lagos,4.2,1,0
R00003,2025-03-17,Bronze,42,Nairobi,4.9,0,0
R00004,2024-08-20,Silver,41,Lagos,3.9,0,1
R00005,2023-07-10,Bronze,40,Lagos,5.0,0,0
R00006,2023-08-17,Gold,44,Lagos,4.4,0,1
R00007,2023-05-13,Bronze,27,Nairobi,4.9,0,0
R00008,2025-04-02,Bronze,30,Nairobi,5.0,0,1
R00009,2023-07-01,Bronze,24,Lagos,4.6,0,0
R00010,2024-04-30,Bronze,41,Nairobi,4.3,0,0
R00011,2025-04-15,Gold,37,Cairo,4.0,0,1
R00012,2023-10-28,Gold,38,Cairo,4.6,0,0
R00013,2023-07-02,Bronze,40,Cairo,4.2,0,0
R00014,2023-09-03,Bronze,45,Nairobi,5.0,0,0
R00015,2025-01-15,Gold,18,Nairobi,5.0,0,1
R00016,2024-05-04,Gold,32,Nairobi,3.9,0,1
R00017,2023-05-02,Gold,25,Lagos,4.2,0,0
R00018,2025-04-19,Gold,51,Nairobi,4.4,0,0
R00019,2025-02-27,Bronze,34,Lagos,4.5,0,0
R00020,2023-07-19,Bronze,18,Cairo,4.9,0,1
R00021,2024-08-14,Bronze,43,Cairo,4.9,0,0
R00022,2025-01-30,Bronze,45,Lagos,4.7,0,0
R00023,2024-09-15,Bronze,51,Lagos,4.6,0,1
R00024,2025-04-16,Gold,41,Nairobi,4.4,0,1
R00025,2023-10-24,Bronze,46,Cairo,3.8,0,1
R00026,2024-08-08,Bronze,19,Lagos,4.7,0,0
R00027,2023-07-13,Silver,35,Cairo,4.7,0,1
R00028,2025-03-15,Silver,42,Cairo,4.9,0,0
R00029,2023-12-25,Bronze,23,Lagos,4.8,0,1
R00030,2024-09-05,Bronze,46,Lagos,4.1,0,1
R00031,2024-03-19,Bronze,30,Lagos,4.1,0,0
R00032,2024-09-21,Bronze,35,Nairobi,5.0,0,0
R00033,2024-02-21,Bronze,25,Cairo,4.6,0,1
R00034,2024-06-08,Silver,45,Nairobi,3.1,0,0
R00035,2025-01-25,Bronze,36,Nairobi,4.7,0,0
R00036,2024-05-04,Bronze,31,Lagos,3.9,0,0
R00037,2024-03-03,Gold,39,Nairobi,3.9,0,0
R00038,2023-12-12,Silver,32,Nairobi,5.0,0,0
R00039,2024-09-04,Bronze,44,Nairobi,4.5,1,0
R00040,2024-07-28,Silver,28,Cairo,3.9,0,0
R00041,2023-12-18,Bronze,35,Lagos,3.7,0,0
R00042,2023-10-05,Bronze,18,Lagos,3.9,0,0
R00043,2024-09-30,Bronze,31,Nairobi,3.7,0,0
R00044,2024-11-24,Bronze,32,Cairo,4.7,0,0
R00045,2024-12-13,Bronze,26,Nairobi,4.8,0,0
R00046,2023-12-15,Bronze,38,Cairo,4.7,0,0
R00047,2024-05-04,Bronze,38,Nairobi,3.9,0,0
R00048,2024-04-26,Bronze,18,Nairobi,4.5,1,0
R00049,2024-01-12,Silver,47,Lagos,4.7,0,0
R00050,2023-11-28,Bronze,48,Lagos,5.0,0,0
R00051,2024-05-03,Bronze,34,Nairobi,4.3,0,1
R00052,2023-12-29,Bronze,18,Nairobi,4.7,1,1
R00053,2024-01-03,Bronze,43,Cairo,4.7,0,0
R00054,2024-03-08,Silver,26,Nairobi,5.0,0,1
R00055,2024-10-04,Bronze,31,Lagos,4.1,1,0
R00056,2024-01-28,Bronze,23,Cairo,5.0,0,1
R00057,2025-04-04,Bronze,39,Lagos,4.8,0,0
R00058,2023-10-12,Gold,35,Nairobi,5.0,0,0
R00059,2025-04-07,Bronze,37,Lagos,4.1,0,1
R00060,2024-12-14,Bronze,40,Lagos,4.7,0,1
R00061,2024-07-10,Bronze,35,Cairo,4.1,0,0
R00062,2023-09-24,Silver,30,Cairo,4.9,0,1
R00063,2025-03-17,Bronze,38,Cairo,3.6,0,0
R00064,2024-07-16,Silver,38,Lagos,4.5,0,0
R00065,2024-04-10,Silver,45,Cairo,4.7,0,0
R00066,2023-12-26,Bronze,44,Cairo,4.6,0,0
R00067,2024-07-12,Platinum,32,Lagos,4.6,0,1
R00068,2024-07-23,Silver,18,Nairobi,4.2,0,0
R00069,2025-02-13,Bronze,20,Nairobi,3.8,0,1
R00070,2024-06-03,Bronze,44,Nairobi,5.0,0,0
R00071,2023-05-23,Bronze,18,Cairo,4.1,0,1
R00072,2024-03-16,Gold,45,Cairo,4.3,0,0
R00073,2023-11-10,Silver,45,Nairobi,5.0,0,0
R00074,2024-05-27,Silver,51,Nairobi,4.7,0,0
R00075,2023-10-10,Bronze,53,Lagos,4.6,1,1
R00076,2025-04-11,Bronze,35,Nairobi,5.0,0,0
R00077,2023-08-13,Silver,40,Nairobi,4.3,0,0
R00078,2024-05-07,Bronze,43,Cairo,4.1,0,0
R00079,2024-08-20,Silver,53,Cairo,4.6,1,1
R00080,2024-08-27,Silver,41,Nairobi,4.0,0,0
R00081,2023-06-20,Bronze,33,Nairobi,4.6,0,1
R00082,2024-04-20,Silver,24,Nairobi,3.7,0,1
R00083,2023-10-02,Bronze,25,Lagos,5.0,0,1
R00084,2025-01-28,Gold,25,Nairobi,4.6,0,0
R00085,2024-03-20,Silver,35,Lagos,4.5,0,0
R00086,2023-06-11,Bronze,35,Lagos,5.0,0,0
R00087,2023-10-12,Silver,23,Nairobi,4.3,1,0
R00088,2024-07-23,Silver,49,Nairobi,3.8,0,0
R00089,2024-07-22,Bronze,38,Lagos,4.6,0,0
R00090,2023-11-09,Gold,37,Lagos,4.0,0,0
R00091,2024-08-08,Silver,44,Nairobi,4.3,0,0
R00092,2023-08-03,Bronze,20,Cairo,4.4,0,0
R00093,2025-02-21,Bronze,35,Nairobi,4.5,0,0
R00094,2023-08-01,Silver,35,Nairobi,5.0,0,0
R00095,2024-08-24,Bronze,39,Nairobi,3.8,0,1
R00096,2024-10-09,Gold,18,Nairobi,4.7,0,1
R00097,2023-11-23,Bronze,26,Cairo,5.0,0,0
R00098,2024-04-25,Bronze,37,Nairobi,4.5,0,0
R00099,2024-09-03,Bronze,35,Lagos,5.0,1,1
R00100,2023-12-30,Bronze,38,Nairobi,4.5,0,1
R00101,2023-11-06,Silver,44,Nairobi,3.7,0,0
